Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate,average_price,item_name
Niue,66.5,63.7,68.8,2.88,"Cappuccino (Regular Size), Restaurants"
Samoa,61.2,50,72.6,53.08,"Meal at an Inexpensive Restaurant, Restaurants"
Samoa,61.2,50,72.6,75.26,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Samoa,61.2,50,72.6,15.98,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Samoa,61.2,50,72.6,3.37,"Domestic Draft Beer (0.5 Liter), Restaurants"
Samoa,61.2,50,72.6,3.55,"Imported Beer (0.33 Liter Bottle), Restaurants"
Samoa,61.2,50,72.6,1.78,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Samoa,61.2,50,72.6,1.36,"Bottled Water (0.33 Liter), Restaurants"
Samoa,61.2,50,72.6,1.78,"Milk (Regular, 1 Liter), Markets"
Samoa,61.2,50,72.6,0.8,"Fresh White Bread (500 g Loaf), Markets"
Samoa,61.2,50,72.6,4.18,"Eggs (12, Large Size), Markets"
Samoa,61.2,50,72.6,0.89,"Local Cheese (1 kg), Markets"
Samoa,61.2,50,72.6,1.17,"Bottled Water (1.5 Liter), Markets"
Samoa,61.2,50,72.6,15.98,"Bottle of Wine (Mid-Range), Markets"
Samoa,61.2,50,72.6,1.78,"Domestic Beer (0.5 Liter Bottle), Markets"
Samoa,61.2,50,72.6,3.55,"Imported Beer (0.33 Liter Bottle), Markets"
Samoa,61.2,50,72.6,6.04,"Cigarettes (Pack of 20, Marlboro), Markets"
Samoa,61.2,50,72.6,3.55,"Chicken Fillets (1 kg), Markets"
Samoa,61.2,50,72.6,4.97,"Apples (1 kg), Markets"
Samoa,61.2,50,72.6,1.78,"Oranges (1 kg), Markets"
Samoa,61.2,50,72.6,3.55,"Potatoes (1 kg), Markets"
Samoa,61.2,50,72.6,2.84,"Cappuccino (Regular Size), Restaurants"
Samoa,61.2,50,72.6,1.78,"White Rice (1 kg), Markets"
Samoa,61.2,50,72.6,4.26,"Tomatoes (1 kg), Markets"
Samoa,61.2,50,72.6,1.78,"Bananas (1 kg), Markets"
Samoa,61.2,50,72.6,1.07,"Onions (1 kg), Markets"
Samoa,61.2,50,72.6,8.17,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,15.61,"Meal at an Inexpensive Restaurant, Restaurants"
French Polynesia,48.4,46.7,50.2,80.51,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
French Polynesia,48.4,46.7,50.2,12.2,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
French Polynesia,48.4,46.7,50.2,4.15,"Domestic Draft Beer (0.5 Liter), Restaurants"
French Polynesia,48.4,46.7,50.2,4.88,"Imported Beer (0.33 Liter Bottle), Restaurants"
French Polynesia,48.4,46.7,50.2,2.51,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
French Polynesia,48.4,46.7,50.2,2.2,"Bottled Water (0.33 Liter), Restaurants"
French Polynesia,48.4,46.7,50.2,1.51,"Milk (Regular, 1 Liter), Markets"
French Polynesia,48.4,46.7,50.2,2.83,"Fresh White Bread (500 g Loaf), Markets"
